Candidates,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10
"Davis, Henrietta",1592,-228,1364,0,1364,0,1364,0,1364,0,1364,0,1364,0,1364,0,1364,0,1364
"Decker, Marjorie C.",1069,71,1140,1,1141,6,1147,6,1153,24,1177,21,1198,82,1280,84,1364,0,1364
"Galluccio, Anthony D.",522,12,534,1,535,0,535,3,538,16,554,12,566,-566,0,0,0,0,0
"Janik, Jonathan S.",261,3,264,1,265,4,269,7,276,-276,0,0,0,0,0,0,0,0,0
"Kelley, Craig A.",1118,20,1138,0,1138,11,1149,7,1156,18,1174,7,1181,47,1228,114,1342,22,1364
"Maher, David P.",1312,15,1327,0,1327,2,1329,8,1337,21,1358,6,1364,0,1364,0,1364,0,1364
"Moore, M. Kevin",251,0,251,1,252,14,266,18,284,23,307,-307,0,0,0,0,0,0,0
"Morree, Gregg J.",111,1,112,0,112,1,113,-113,0,0,0,0,0,0,0,0,0,0,0
"Murphy, Brian",1160,46,1206,1,1207,5,1212,9,1221,28,1249,23,1272,35,1307,57,1364,0,1364
"Podgers, Kathy",92,0,92,1,93,-93,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reeves, Kenneth E.",1217,5,1222,2,1224,8,1232,7,1239,16,1255,57,1312,52,1364,0,1364,0,1364
"Seidel, Sam",1037,13,1050,4,1054,16,1070,6,1076,36,1112,43,1155,20,1175,173,1348,16,1364
"Simmons, E. Denise",996,23,1019,1,1020,10,1030,7,1037,11,1048,35,1083,72,1155,209,1364,0,1364
"Sullivan, Edward J.",831,1,832,1,833,4,837,8,845,9,854,11,865,121,986,52,1038,-1038,0
"Toomey, Timothy J., Jr.",1339,8,1347,1,1348,2,1350,10,1360,4,1364,0,1364,0,1364,0,1364,0,1364
"Ward, Larry W.",699,10,709,0,709,4,713,5,718,33,751,55,806,29,835,-835,0,0,0
Write-In P1,25,0,25,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In Other,1,0,1,-1,0,0,0,,0,0,0,,0,,0,0,0,0,0
Exhausted,0,0,0,11,11,6,17,12,29,37,66,37,103,108,211,146,357,1000,1357
Invalid,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88
Total,13721,0,13721,0,13721,0,13721,0,13721,0,13721,0,13721,0,13721,0,13721,0,13721
,,,,,,,,,,,,,,,,,,,
Election Date,6/6/2007,,,,,,,,,,,,,,,,,,
Count Date,6/6/2007,6/7/2007,,,,,,,,,,,,,,,,,
Total,13721,,,,,,,,,,,,,,,,,,
Quota,1364,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,
1,"Davis, Henrietta",,,,,,,,,,,,,,,,,,
2,"Toomey, Timothy J., Jr.",,,,,,,,,,,,,,,,,,
3,"Maher, David P.",,,,,,,,,,,,,,,,,,
4,"Reeves, Kenneth E.",,,,,,,,,,,,,,,,,,
5,"Decker, Marjorie C.",,,,,,,,,,,,,,,,,,
6,"Murphy, Brian",,,,,,,,,,,,,,,,,,
7,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,
8,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,
9,"Seidel, Sam",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2007officialmunicipalelectionresults.pdf,,,,,,,,,,,,,,,,,,